,Details,Superficie,Adresse,Prix,Image_lien-src
53,Terrain à vendre,150 m²,Bambilor Dakar,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fad71545152153eee244e8d4ed8fab01/-/horizon-files-prod/ed/picture/q6xdzq26/cf7aff74e8b41430b50d8e61965ba30fa63e85e8.jpg
54,Terrain à vendre à Pout,180 m²,Pout Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cea9af24257e07a5df7ec5a61dd9bdf8/-/horizon-files-prod/ed/picture/q0gwq7p8/f3ad95a385702e53f710c0b6cbef3ec529a42588.jpg
55,Terrain de 412 M2 à vendre à mbour Toucouleur,412 m²,Mbour Thiès,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a63502fae913a4b01c2fd69b994ebdf/-/horizon-files-prod/ed/picture/q78w9jeq/c575aeafda4cf208516225cd79a86505dc57c857.png
56,Terrain de 400 m2 à vendre Benne Tally bordure de route,400 m²,Biscuiterie Dakar,280 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/929902054e65bea223d4e64d05f29b5c/-/horizon-files-prod/ed/picture/qm5gd02g/5d64c49fc998d8a66e7233ad8cc3969708db7a64.jpg
57,TERRAIN EN TF À VENDRE À LA CITÉ HAWO DIA,150 m²,Kounoune Dakar,22 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4da17d6cb56f05649f6ae7e88d55fa81/-/horizon-files-prod/ed/picture/qenv2wv9/26303d7d460194236bfc3e1c5d7dc6ca31384544.jpg
58,Terrain a vendre a Keur Massar Unité 22,160 m²,Keur Massar Dakar,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf567483e39c13dddb0a02b4527fbf8a/-/horizon-files-prod/ed/picture/qkr86ezx/7435de6d43dba995dc7a49e04598e08946c9385b.jpg
59,A VENDRE UN TERRAIN AVEC FONDATION,200 m²,Mamelles Dakar,175 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c1ea9e5bbd7880a1a7c848fd27f945b/-/horizon-files-prod/ed/picture/q6xdzz58/18dced4b3b562edafaeaffc74aa7e36989756a17.jpg
60,terrain à vendre,150 m²,Keur Massar Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6e5853073a96ed208aca234c482908e/-/horizon-files-prod/ed/picture/qkr822dj/e3e0e7068782d4c347d422cd346dff16825e16b7.jpg
61,Terrain clôturé en titre foncier à la lagune de Somone,"1,390 m²",Somone Thiès,138 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f5db3c0849dd4fdc9f191ec3c596cea/-/horizon-files-prod/ed/picture/q44n77v8/34bf2c9ec735b6df582ce1e8c838ad34a5dd8c54.jpg
62,"""Opportunite a saisir "" 2 ha à vendre à Popenguine",,Popenguine Thiès,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42534f50552812d148ac974f1103b3e5/-/horizon-files-prod/ed/picture/qrz8jgz4/78a3652064d128fc15630e91b6a991f23e42b22f.jpg
63,Terrain à la SeneGindia SN City de Ndiakhirate,150 m²,Ndiakhirate Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0708d5420a778a50f4cee946622c04b8/-/horizon-files-prod/ed/picture/qzvpe6xr/ca1d132659696e3b2f3d196e10011a4fa6d9071a.jpg
64,VENTE TERRAIN ZONE DE CAPTAGE,183 m²,Zone de captage Dakar,80 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/910649dbe2dec72cfa679fbf8512d6ee/-/horizon-files-prod/ed/picture/q8v4nd86/0e25616730213503d86fe8b3b69ce4e3766d6bf4.jpg
65,"518m2, angle, tf à vendre à Hann Mariste",518 m²,Hann maristes Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4c5b4977ca804faa6127bf615979e4f/-/horizon-files-prod/ed/picture/qxjpxzm4/2380b5a48189517d50298f4b79b84d62918e1c6a.jpg
66,Terrain Diamniadio Cite Fonctionnaire,150 m²,Keur moussa Thiès,3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96ca6d156176838edcd608f7acb76eb1/-/horizon-files-prod/ed/picture/qngx4p4k/64658fb8ee56300fd28ac78fe168dbdc1c9bfe0b.jpg
67,TERRAIN A VENDRE CITE FONCTIONNAIRE,300 m²,Diamniadio Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fc8a24ebc712ae294becc9b626f1d7f/-/horizon-files-prod/ed/picture/q6xdz40j/acc10783d54e5129f6ad800b2eab12bfd8ada641.jpg
68,Diamniadio 1 hectare,"10,000 m²",Diamniadio Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8652afbcafcc881417e6608867e8bf04/-/horizon-files-prod/ed/picture/q2j059mg/4612934107b03dbfcc1ec526c30800c1c258fb2c.jpg
