,Details,Superficie,Adresse,Prix,Image_lien-src
174,Terrain à vendre aux parcelles assainissement u26,209 m²,Parcelles Assainies Dakar,85 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92842c997113c16a6bb99556a6fa97b0/-/horizon-files-prod/ed/picture/qj4q7njr/3215eb7b16fb89fa4d5c6371250ffb7aefc19455.jpg
175,YENN Tood,150 m²,Yene Dakar,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1a20252bd21b0652697f2b5a10ae4da/-/horizon-files-prod/ed/picture/qngpnxwz/d0fa4c574941640036c1b2b8092b3e7d8255f9aa.jpg
176,Terrain à vendre NGOR ALMADIES,"1,028 m²",Almadies Dakar,900 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e73ee8bdf7bdc5742c9cdbddead0636e/-/horizon-files-prod/ed/picture/qkr8mx4v/da3836d7a55e31812bac7f8004819d14eb8b7810.jpg
177,Terrain de plus de 4 hectares à vendre à Sinthiane,"41,480 m²",Nguering Thiès,23 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/873170afea95619e6761eea140da6c84/-/horizon-files-prod/ed/picture/q2j0npdj/97d3715e8b2e64bed3a40e8b2b9da02e00710e45.jpg
178,Terrain semi clôturée à vendre à Sinthiane,"1,599 m²",Nguering Thiès,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c79dd2e325ffe883e642a3d55708832f/-/horizon-files-prod/ed/picture/q44nqe29/8f594b1f57ee329c3b248c6a677139f4f0833381.jpg
179,VENTE 13 TERRAINS TF KEUR MASSAR,150 m²,Keur Massar Dakar,22 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a445170a70e70c3cc8a71f1f97b7d84/-/horizon-files-prod/ed/picture/qm5gnkjm/c62b60b86747da7eb22e8e31b303f9192460de99.jpg
180,À VENDRE : TERRAIN À KOUNOUNE 2 – 150 m² – TITRE FONCIER,150 m²,Kounoune Dakar,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ea0cb728f7a57f3507b9d9c88ea828f/-/horizon-files-prod/ed/picture/q9mj6pp7/3bc096cd7671ba62cc7fbe8be355d37662a14800.jpg
181,Terrain 300 m2 Louga,300 m²,Louga Louga,1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78549db206108639a482033493e9677a/-/horizon-files-prod/ed/picture/qzvdzqk6/c9a962f731404f57a495e9fd415b65b88074b664.jpg
182,Terrain de 1800 m2 à vendre à Ngaparou,"1,800 m²",Nguering Thiès,64 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93944ebc1f1bb9f58ab32219df21fdfa/-/horizon-files-prod/ed/picture/q2j0nk9j/269a0b7be260bad11b3b08e895006c2736372f2d.jpg
183,150 m² à vendre ZAC de Thies,150 m²,Thiès Thiès,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26d41ae62c8cf169036e0081281508f7/-/horizon-files-prod/ed/picture/q8v49jwz/77b0b0802aabaab99f213e0f1416d5c33ab0e486.jpg
184,Terrain 292 m² Derkle TF,292 m²,Derkle Dakar,130 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0fe9559d03932681c8bcbd4ac2ff614/-/horizon-files-prod/ed/picture/q56dpeqe/a2e25d46e99d3b276cc869fa20e448a3d5bf11d5.jpg
185,Terrain 111 m² sacre coeur 2,111 m²,Sacré-cœur Dakar,100 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5894607b8b091883b98fadfdcf8dd9b9/-/horizon-files-prod/ed/picture/qwepnde5/baca8a5fbd0f6077609600225d4b75fc901f0f52.jpg
186,Terrain commercial 710 m² à vendre Ouakam,710 m²,Ouakam Dakar,400 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b4020de625943ae2b87dddb6aff9cd5/-/horizon-files-prod/ed/picture/qxjpw5j8/f1fa9e4b18ea72c1aec9323b595eaf32edd41069.jpg
187,Champ de 3 hectares à Noto Gouye Diama,,Notto Thiès,22 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a82a08f3d08d5dc50e6f2b82eeb6cebc/-/horizon-files-prod/ed/picture/qgqwkgnk/ea56a3a5108af25ce7009d02dbf54f00c892926e.jpg
188,Terrain à vendre à Ngeurigne,"7,514 m²",Nguering Thiès,262 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9a970d745c98194845b57449300e4d4/-/horizon-files-prod/ed/picture/qzvpq4en/4d7f48a3df1341d377a32a2e50860530e24e1472.jpg
189,Grands terrains et case face réserve bandia,"100,000 m²",Sindia Thiès,8 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0fcbcaa6af4891c689e8b2b5e253090/-/horizon-files-prod/ed/picture/q2j02rkq/dd11131b91c3e9e2702fea5a35d316584d871c21.jpg
190,Terrain a vendre a Keur Massar,150 m²,Keur Massar Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d539107a0af65bdb249c17b5f8e1a1e8/-/horizon-files-prod/ed/picture/qngpkp5z/e9bdc2519f75a297eed7256685ef3c773a58cb0e.png
191,Terrain vue sur mer a Cap Skirring derrière l'aéroport,406 m²,Cap Skirring Ziguinchor,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74ac2633cd2b96ab09847d76be55c1c7/-/horizon-files-prod/ed/picture/q6xdkqq8/bcf0a5f4acaaa8589ee6faaef988211ee390e4de.jpg
192,BON TERRAIN SICAP KEURMASSAR,157 m²,Keur Massar Dakar,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b83bfe095283ee19fa3f1b6dd2e49d1c/-/horizon-files-prod/ed/picture/q9mj2k9j/f00040d4c2345886848043cc5508fcc8ac572ef7.jpg
193,Terrain avec fondation Keur Massar,170 m²,Keur Massar Dakar,14 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3797cdcb9df18e1f589972786c1c2f15/-/horizon-files-prod/ed/picture/qngpk9g9/b273b6939c9bc7f83bf29139374edde7714e4629.jpg
194,Terrains TF à vendre Bambilor,207 m²,Bambilor Dakar,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa22be312657618673cedbfb14afa7d1/-/horizon-files-prod/ed/picture/q6xd4g86/106a2addfba555cdd46339f0b90c9cff2bfc9c94.jpg
195,Terrain en résidence à vendre à Nguerigne,"1,000 m²",Nguering Thiès,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4abe7f9bbfeed9b213936511db5b4116/-/horizon-files-prod/ed/picture/q2j028w6/a85067a86c32113f0ed62ddd59783a86e1866570.jpg
196,Terrain 150m2 tf zac mbao,150 m²,Zac Mbao Dakar,22 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b34ef7a71d36563145646d5f4108bd32/-/horizon-files-prod/ed/picture/q2j028ve/68ce6c0999ee2265ec8b0c8b956c8b2706a49e4d.jpg
197,Terrains très bien placés à vendre aux Almadies,57 m²,Almadies Dakar,400 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbacb3c5f9a1d50ded467beffcc0d63f/-/horizon-files-prod/ed/picture/q6xd6m8d/8d9caa2e8a3032a3cee98be34a9ebfb3f84b8f62.jpg
198,TERRAIN TITRE FONCIER A KOUNOUNE CITE HAWO DIA,160 m²,Kounoune Dakar,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61b240915f826db2501dee76f97175f9/-/horizon-files-prod/ed/picture/q6xd4j8d/43849f3270a87c2b13e8cd09394a06d892b6ec3a.jpg
199,TERRAINS À VENDRE,230 m²,Sindia Thiès,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/12214fb7d391ec8c364e59cca75e27ab/-/horizon-files-prod/ed/picture/qxjpnk50/613194ea63c8dd4c6445c7ec59f3a629d652f3fb.png
200,Centre-ville Opportunités pour investisseurs,"3,100,000,000 m²",Plateau Dakar,3 100 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4d7003c0bc608aaef4246a816da7609/-/horizon-files-prod/ed/picture/qgqwj62n/61dda8bd4db223a6f7decd514df4dab67c0913a9.jpg
201,Ref_5075_PL Terrain à vendre à keur Guilaye,225 m²,Sebikotane Dakar,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e2b9f9b93e9e33161a89d0a773c1c285/-/horizon-files-prod/ed/picture/qwep9wj6/02b2d16275fb8e89bbc8c01cd275ccc77ac0a704.png
202,Parcelles de 150 à 500m2 à Vendre à Kounoune 2,,Kounoune Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/72f89d65a44b619bf6ef07714943733c/-/horizon-files-prod/ed/picture/qxjpnqx4/9ce00643276728bd56e1372ff694ec9f77ec5d8a.png
203,Un grand terrain pour un grand coeur,292 m²,Almadies Dakar,250 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a829aff78a5d67eea468c49fd1aebeac/-/horizon-files-prod/ed/picture/qv4w0zrp/ca13ca542b6c53fe5885061e26cf898d3d8d4263.png
204,Vente Terrains à Touba Fall,500 m²,Touba Diourbel,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31fcf193f1f4030d7a100d8d2466a95a/-/horizon-files-prod/ed/picture/q0g7x5wj/492763d7d245d17dbac5d51561290df84dd99451.jpg
205,Terrain à vendre,400 m²,Sacré-cœur Dakar,500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/197f00a6985cdcfdbc6800d51fbc4528/-/horizon-files-prod/ed/picture/qzvpqxkg/72c02e890a3855d5cc6c9dd4a8796f6db7b6f8ef.png
206,200m2 à la cité Racine sy- kounoune 2,200 m²,Kounoune Dakar,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f24ac621c4537abcf8ae337a4aab0faa/-/horizon-files-prod/ed/picture/qwqn06j/1b1646ecf73e2d5d54d0a976e67b0157be82ea23.jpg
207,Vente de terrains à NDIAKHIRATE,150 m²,Ndiakhirate Dakar,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/534ee29427f01b40ebf9950137463f2b/-/horizon-files-prod/ed/picture/qngpddnr/0a40603632c5decdf241130a2a3fe4cf64e4b496.jpg
208,Terrain TFG à vendre à Thies,300 m²,Thiès Thiès,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b94e2d502846142d68d395fa79b9736/-/horizon-files-prod/ed/picture/qpdw8vd0/11e6a6aec74a43b5c196109872369cbdf79256e0.jpg
209,TERRAIN 150 m2 À VENDRE (GRAND MBAO),150 m²,Mbao Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/16c3dca206cffc08c011cf47a8de4b6c/-/horizon-files-prod/ed/picture/qpd6zmrm/9916f138fd2c740b3f4d5a6e14e3b3b0da93f551.jpg
210,Terrain d'angle 150 m² double façade à vendre à ou,150 m²,Ouest foire Dakar,100 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52150c7f2165664768b33de1d8e51fba/-/horizon-files-prod/ed/picture/qj4qdd4v/e50083e908849a14bdd07b808367454605bd7fd3.jpg
211,Terrain commercial aux HLM de 4 500 m² à vendre,"4,500 m²",Hlm Dakar,2 385 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a47c85cb3cd29156c8c6fce09b1e1b6/-/horizon-files-prod/ed/picture/qpdm556p/fa931e6171b280ffc366ed2192c03b9ee212243d.jpg
212,TERRAIN 1800M2 COMMERCIAL EN VENTE YOFF DJILY MBAYE,"1,800 m²",Yoff Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf57a643a0cd1831ad2c275bab8f8916/-/horizon-files-prod/ed/picture/qgqwkke0/ec1d96b5b142d9e93f4cfaf77e5e6429c812aeac.jpg
213,terrains à vendre à Niague lac rose.,150 m²,Niague Dakar,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9158545e929e2b5b27ddad1182de8cc/-/horizon-files-prod/ed/picture/q78wd445/124a4790ed4a01e624eb26ea83b811a9c68ef5bd.jpg
214,Lot de terrain à Niakoul'Rap,150 m²,Niakoul rap Dakar,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f64e8991d249a402a60f838d14d77d96/-/horizon-files-prod/ed/picture/q566pg70/b09b54d94573eef3baa531a0f02aafc5d256a5d8.jpg
215,Lot de terrain en face cité apix tivaouane peulh,150 m²,Tivaouane peulh Dakar,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70a0dfba8bac1a5e17ae0e3a4dcd4012/-/horizon-files-prod/ed/picture/qzvpqwnq/e6b808911bed6a682069d86c35ee08a91c85fbe3.jpg
216,Lot de terrain croisement Niague,150 m²,Niague Dakar,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f3b2adf00694c62ed6ac110ecc928fb/-/horizon-files-prod/ed/picture/q6xd28gd/7be7e32a3ff1114aa5ce9616e524c50fc8b5b018.jpg
217,Hectares à vendre DIASS,"1,150,000 m²",Diass Thiès,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9992213b55bbddbd29f68d150f4acdc3/-/horizon-files-prod/ed/picture/q2j0g82p/f5c316c18fe5d4a6fa5fcb4f4d3cd6e4773db84a.jpg
218,Terrains à vendre à Niagues lotissement Millesim,,Niague Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c721b02fc140a8c6093930ca96405742/-/horizon-files-prod/ed/picture/qj4qqwd4/2abe853f2d0069cdd3873e7d6d25147e908f6fbf.jpg
219,TERRAINS A VENDRE A cité Apix,,Keur Massar Dakar,100 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d2601ea9355af9767b93eed835c0142/-/horizon-files-prod/ed/picture/qpd65emx/0fc05ace55a759653b24d984934c4361fc017f82.jpg
220,"Terrain (bâtisse) 750m2 angle, Cheikh Amar",750 m²,Mamelles Dakar,730 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6dfb07fbcbf780d2478b902a57e97870/-/horizon-files-prod/ed/picture/qgqw4z2n/58ea80397f460211f6f350fa52175241502078a1.jpg
221,Sipres 2 Terrains vue sur mer/angle,375 m²,Mbao Dakar,80 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96adbee8a9650a5a689e5c0eb031c147/-/horizon-files-prod/ed/picture/qkr8de5p/a319d50effc036ddf7478b07454d45fd595c996e.jpg
222,Lot de terrains TF à vendre à Sangalkam,150 m²,Sangalkam Dakar,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47f44e90ca959f85918693a773b30228/-/horizon-files-prod/ed/picture/qzvd0png/0e8d3584f0c663f7c1960c750516c7a71ec19417.jpg
223,TERRAINS A VENDRE AUX ALMADIES,241 m²,Almadies Dakar,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/790cbb224866408cae2fc68d9ab0097a/-/horizon-files-prod/ed/picture/q78wdzne/6c8a5b992944cc34d10a5ddb7cb70687c67d1c04.jpg
224,Ref_5076_JN Verger de 18.128m² hectares à vendre,"18,128 m²",Ziguinchor Ziguinchor,32 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/69ca70d5e4e25b1f7000cd426abc9648/-/horizon-files-prod/ed/picture/qkr8dj25/981220f00b95bf7e4dfd43d140ca45cb12b0fb67.jpg
225,Terrain Angle de 625m2 Titre foncier à MBour Thioce Ouest,625 m²,Mbour Thiès,65 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a54974b05a2a22545114cff2bbeef33/-/horizon-files-prod/ed/picture/qq42k0nw/cc069adab193362feea5332fd4ff42ec011d7ed2.jpg
226,Terrain d'angle à vendre au point e,654 m²,Point-e Dakar,882 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0aef0c9a3487f04bb69fd2119fc59db3/-/horizon-files-prod/ed/picture/qq42kjr4/2b0a607658e6c5fd5544d6e8b36386f40be86b04.jpg
227,Terrain bien placé,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb5ea8c12f414e9e9fc23f6778341159/-/horizon-files-prod/ed/picture/qq42kmvz/0b2f8ec7aeb7890d16659ae5ada803ce37e2d590.jpg
228,Lot de parcelles à vendre à ngaparou,,Ngaparou Thiès,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c61e1a6ee94239d85cbe39179d91a0c1/-/horizon-files-prod/ed/picture/qenvv784/3083c337584d29b6bb7640a77ccb4b79706ab694.jpg
229,"600m2 à Toure Mbonde , diourbel",600 m²,Diourbel Diourbel,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d0e8ae06d341c4136cf9318979d5f3d/-/horizon-files-prod/ed/picture/qzvpqg86/9be0c1c525177ecbe4ebdbecf0f4d2b4572c3be8.jpg
230,Terrain 150m2 kounoune,150 m²,Kounoune Dakar,19 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36f6b0cf00ae853f1fb69f7567bb93a3/-/horizon-files-prod/ed/picture/q9mjdej8/1cfd7696adc2584d4173bab8716c2837772e49a6.jpg
231,Terrain 900m2 sur la route nationale Station Total Gandigal,900 m²,Gandigal Thiès,95 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b102856c417206aba7206358590f83b/-/horizon-files-prod/ed/picture/qm5gk8xw/873d034a027778d008226a78b9ecdaba0ce733d3.jpg
232,Terrain à vendre à THIES,210 m²,Thiès Thiès,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6facc56fa043ce42314e71d17d74960/-/horizon-files-prod/ed/picture/q9m07ne7/ecf7d5b2f558552dabd92b10fae7b847f8887b19.jpg
233,TERRAIN A VENDRE NDAYANE ET KEUR MOUSSA,225 m²,Thiès Thiès,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a180f2ea50b62d41998b7662f0189e2e/-/horizon-files-prod/ed/picture/qj4qpk9e/76b2221922acc4a4674a5adf9ea9e7351c30c434.jpg
234,Terrain 1 hectare à vendre à Diamniadio,"10,000 m²",Rufisque Dakar,550 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4ebb0efee2f6ff1372a2c9506f6623/-/horizon-files-prod/ed/picture/migrated/qn9vkdk/28811bb399186b3c87dcfb3650c63a2e5468989a.jpg
235,Terrain angle 150m2 à vendre à kounoune,150 m²,Almadies 2 Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3dfc380f6777c748eb6497ab746b281/-/horizon-files-prod/ed/picture/q9mj66nw/0707da37f72604e74a728fc7a8e28a475f7cbe79.jpg
236,BELLE OFFRE DE TERRAIN AUX ALMADIES,824 m²,Almadies Dakar,750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/265dae6b90b76ed20ca67c37ef2bfad3/-/horizon-files-prod/ed/picture/qv4w02e2/c41ee38d0c2c51438842072877b11a54870b4d5e.jpg
237,Terrain 170m2 à vendre à zac mbao,170 m²,Zac Mbao Dakar,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8f77d21f7c045e338c5c70c9831f421/-/horizon-files-prod/ed/picture/q6xdddpg/e7696afec84ab719106155bd77e6bb4ef8d4a245.jpg
238,Terrain pied dans l’eau à vendre aux îles saloum,,Autres Autres,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0590fb9ca94d4717b4e7d24262cc9e6/-/horizon-files-prod/ed/picture/q8v5wrd6/30aa743c1d04d61370859ddb296bea84ab242cbf.jpg
239,Lot de terrains à vendre aux îles du saloum,500 m²,Ndangane Sine saloum,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39b0aca678d1be1d0ef37cc929098246/-/horizon-files-prod/ed/picture/qdekve9j/96532ed93de9a8b705385ebf3cd10533a112c4d3.jpg
240,Ref_5077_GL Grand Terrain à Vendre à Cap Skirring,"16,000 m²",Cap Skirring Ziguinchor,528 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae486846748aefcbb0d9fa94c8e0acd1/-/horizon-files-prod/ed/picture/q44nwdp9/37cc08a7bd00175b20ca82b35204bb3bd3df97b6.jpg
241,Terrains à vendre à Somone,300 m²,Somone Thiès,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e8d5fd61b2518b7183778dee49cb968/-/horizon-files-prod/ed/picture/qwep0274/75e4ccc4fefaa2cf19e120d3aafea97f7b760a15.jpg
242,Terrain à Vendre à Somone,225 m²,Somone Thiès,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34a490e6647b7906fb681d88bd79855f/-/horizon-files-prod/ed/picture/qde7mk82/d920dbd590ed5f91ef57805940f8b09362059eb6.jpg
243,Terrain nu 300m2 à vendre à Ouakam,,Ouakam Dakar,120 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3eaf52570f8e6be4e356386b86d3641c/-/horizon-files-prod/ed/picture/q6xd8kg6/fb2366a90a02b3f8b583b8e8e4148aab916beb5b.jpg
244,Terrain 4ha en première position niakhirate,"40,000 m²",Ndiakhirate Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/577a2205757c48e8d3ef3f378e6daf04/-/horizon-files-prod/ed/picture/q2jqdp96/8fe742a00508c53e08e1f712ff7e7d51aa0a389a.jpg
245,Terrain 300m2 à yène noukhoura,300 m²,Yene Dakar,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f751c4179d743ce5a7a2fb2c9ccd1b2f/-/horizon-files-prod/ed/picture/qqvx724/54953a504c440df1b912e15bc5cbae8aef6972ac.jpg
246,Terrain bail à vendre à Saly,600 m²,Saly Thiès,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68c41dfcbdc0e203eecaa3b0227b7896/-/horizon-files-prod/ed/picture/qv4w5d72/71889839ebe232d7e4f93deae6c12b32424ce8a4.jpg
247,Terrain de 300m2 a malicouda,300 m²,Mbour Thiès,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1db4ae63814fa3de4fd95e52b5069502/-/horizon-files-prod/ed/picture/qj4r7j2e/9a0245d90b35b87e61d31b9093c66fb93e9df447.jpg
248,Terrain de 5 ha à vendre à Louly dia,,Autres Autres,330 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81f6012896afb210c361e7a3bd6b9e79/-/horizon-files-prod/ed/picture/qpdmrgrm/f173c3242434be382b24695cb1d8f419928910bb.jpg
249,Kafountine,800 m²,Diouloulou Ziguinchor,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d1d9840aef4e6562606305337de07bf/-/horizon-files-prod/ed/picture/q78w4j4m/8946e8093c6381a51b6fcd06dd3c380ffb8a88ad.jpg
250,Terrain de 150m2 aux Mamelles,150 m²,Mamelles Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a84acdafa23f3e3f964f7cd69503282/-/horizon-files-prod/ed/picture/qenvzr46/74e846e2021a995553eebf09a2b2b1e967e93c82.jpg
251,Terrain a vendre a Hangar Pèlerins,150 m²,Yoff Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ea7089ce475b6990583ef66ca0c9a6f/-/horizon-files-prod/ed/picture/qzvpw8mg/de6bc80c26ba76d96b94ff21b363408c44199eb3.jpg
252,Terrain Socabeg a Keur Massar,150 m²,Keur Massar Dakar,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8968b7c320b95dda2655b4c9cdb4cf91/-/horizon-files-prod/ed/picture/qgqw7w9m/02988c3f288b50e14f23c1c9093655e8c54d40ec.jpg
253,Terrain très placé Almadie 2,,Almadies 2 Dakar,40 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7b2276ac4152a6728692401f6d188b9/-/horizon-files-prod/ed/picture/qrz8kwqm/f632c9ed2daff5304a7948afe1c6afb626a786a6.jpg
254,Terrains à vendre à kounoune,,Kounoune Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d550f318e190fc087db83810216dc11/-/horizon-files-prod/ed/picture/qpdm58r4/6df06c768107f69c6d86fb9f7cb30578452e6d9c.jpg
255,Opportunité rare 6 hectares de terrain à vendre à Mbambilor,"65,000 m²",Bambilor Dakar,500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/921bae4de7fe27098b8c3812ec4c15d8/-/horizon-files-prod/ed/picture/q9mj272x/c5ce925cfdb9d55fefd37d5a1b1327ce0beda37c.png
256,Wanter : À vendre : Lot de terrains à Niague,,Niague Dakar,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce69c358c2be48ce08cd28f7111896c7/-/horizon-files-prod/ed/picture/qgqw7p8m/8a623468bf9d1fec56d57c9e2e07a3ae8727b225.jpg
257,Terrain de 200m2 tf sis aux Almadies (Socabeg),200 m²,Almadies Dakar,160 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82ae248b6c639b63e599208e530bd3c8/-/horizon-files-prod/ed/picture/qq42x9e4/03a20ac798dbeeedb5f587f8afe2862e0e38c6dd.jpg
258,Terrain à vendre sur la corniche de Fann Residence,,Fann Dakar,2 672 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/475f5b2af71997b0f9d917d8c1fc0c20/-/horizon-files-prod/ed/picture/q6xd8n9j/c4bc298157f49d89d23166f7a3b7aa7d914a49c2.jpg
259,Terrain sur la VDN3 - Mutuelle des Douanes,150 m²,Guediawaye Dakar,29 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5da24565108b029c3ed60ac3cb6e4ef3/-/horizon-files-prod/ed/picture/qenv2qn2/64cb793e581831e8fee68ace0e7c9960d638ffa1.jpg
260,Terrain de 212m2 bail sis aux almadies( recasement1),212 m²,Almadies Dakar,130 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3400298d240e934f68af91cd76c3ae13/-/horizon-files-prod/ed/picture/qwep0gvm/e2f1c809416bfd5069c1cd966aa34ce7250f4042.jpg
261,Terrain à Diamniadio 150m² Bail,150 m²,Diamniadio Dakar,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2e3a5b3d6c828d2f0f11cf0c2722d6d/-/horizon-files-prod/ed/picture/qrz8k694/8626b66a1eedf037c2e87feba8ef9c02f996a3ff.jpg
262,Terrain de 1000 bail sis aux mamelles,"1,000 m²",Mamelles Dakar,575 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78faa1b763ba0f5e5f122a49761fd482/-/horizon-files-prod/ed/picture/q56dq9e2/fa283772547aa1df3a10697fa2221ab134050208.jpg
