Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Superbe appartement de type F3 à louer à Mermoz,2,2,150,Mermoz Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b789f0aece10b513c0a69fa9ecf39507/-/horizon-files-prod/ed/picture/qgqw44vr/a04d3d46402646d400c0ce85510750dfcd989b4b.jpg
Appartement F3 tout neuf à louer à MÉDINA,2,3,150,Médina Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f02ec2cd02ce9bdd34deba7b765159ba/-/horizon-files-prod/ed/picture/q44nqkx2/f26604643459fc060246553180efdf2c06753863.jpg
Villa basse à louer à hlm 4l,2,3,100,Hlm Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/90195ee3e852c85367ad187e8c386a0f/-/horizon-files-prod/ed/picture/q44nn6dm/14694636ad2ccd20495e607c47cd27784011f85b.jpg
Appartement corniche Almadie 4 chambres,4,4,230,Almadies Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b19addaa2b9b6d7a311462ce4b05947/-/horizon-files-prod/ed/picture/q8v4vp4x/63aa2c56972ff2869a250b3a166a5c932d7ec855.jpg
Studio neuf à Cité Aliou Sow,1,1,150,Golf Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ab6b4451ffdefaff4d52982cfbeccc86/-/horizon-files-prod/ed/picture/q78wdg9m/f277d521521b1510d846b4e69f16da0f74c725d1.jpg
Appartement F4 à louer à Ouakam Corniche,3,3,150,Ouakam Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4603284877af2c52ce429b54f877f7c7/-/horizon-files-prod/ed/picture/q9mj2gwx/f209aed4f80843c64f051b9a0ad6e559a61c5a47.jpg
Appartement F4 à louer à Ouakam Corniche,3,3,150,Ouakam Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b96bc177376696ba45ffded42951845/-/horizon-files-prod/ed/picture/qzvpqx6x/e665408e620c74f6e8c968a20ee5e2f53ab1caa4.jpg
A LOUER APPARTEMENT 3 CHAMBRES SALON A DIAMNIADIO,3,2,150,Diamniadio Dakar,165,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3e69c2337deaa98bc876407643f9a48f/-/horizon-files-prod/ed/picture/q56d2ggr/7204dbbcf7d2836a20df8e494e32549c228ed769.jpg
Appartement à louer à la Cité Cpi,3,3,150,Sacré-cœur Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/27022f45eb141134f87ebe717fed86e9/-/horizon-files-prod/ed/picture/q0g7djwd/2e62eca6e0dfc5a4b1caaa4b11f60beada9a3fee.jpg
Appartement à louer,3,3,200,Almadies Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/379773d90210e9225fd35f9ecbd175f3/-/horizon-files-prod/ed/picture/q44n2682/287242ae59b0298ee6f1b626d492f3cceff72774.jpg
Appartement à louer à Mermoz rez-de-chaussée,3,3,150,Mermoz Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a526cf045b3952ccb58809a943dd892a/-/horizon-files-prod/ed/picture/qde7nqz0/d6f37e883fc4f6087dbfc06a4e05214438cba28f.jpg
App F3,2,2,150,Almadies Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bd0f70426bd7ef33c5952437852c63af/-/horizon-files-prod/ed/picture/qde7znq8/73bfbbf5e5ab1b2531228fd81046ae13b6666cb9.jpg
Appartement 2ch à Ngor,2,3,105,Ngor Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3ea362cd6db41b98ad560d6b416d3f2/-/horizon-files-prod/ed/picture/qrz8k792/8c137c66f7b5d75ba88c6a013e2389dd1a5efcb5.jpg
STUDIOS AUX MAMELLES,1,2,150,Mamelles Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/56f2d226166b85c229467c234101eb4b/-/horizon-files-prod/ed/picture/qwep5rjm/09f6cd442c3b30018e1d63728f95c037b231fb02.jpg
APPARTEMENT NGOR ALMADIES,3,3,150,Almadies Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4daac3f09d2c881f1ca932886a8410ae/-/horizon-files-prod/ed/picture/q78wx67g/f0d87b661e6300619993fb5799b510165480e7c0.jpg
Appartement meublé corniche fan résidence,2,2,100,Fann Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc2c57769d481b492fd25f60e8ab08e9/-/horizon-files-prod/ed/picture/qv4wgkg2/a0056a46a4795eb4196921fa5a00ad75065d2a81.jpg
Appartement F3 à louer à Ouakam monument,2,2,150,Ouakam Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c8227998c5212c395f02ddd4f275df62/-/horizon-files-prod/ed/picture/q9mj2k25/48f948d94b32f9b13f539f9e53137b500ef5bdcc.jpg
Luxueux APPT 3 Chambres Ngor Almadies,3,3,150,Almadies Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65826f1505e499da3d5b7fa2a5ec87dc/-/horizon-files-prod/ed/picture/qm5g6q0g/d5b7ba575041a95e52f5a95cbf23050ab54a46d2.jpg
Duplex a louer a Nord Foire,3,3,150,Nord foire Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b94e600069161f174d9c34003bc6b1f/-/horizon-files-prod/ed/picture/qzvpxjnx/030b14692ae80094c71479bf59c6202097f92ec3.jpg
Appartement F3 à louer aux mamelles,2,3,150,Mamelles Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d83f70707d47d0612a5cab904681db85/-/horizon-files-prod/ed/picture/q56d25xn/e1b36139d6fcb612c1a7aa791677a7afef640c09.jpg
Appartement,3,3,150,Almadies Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c8b721fdeec7f0e545de4d2cb660a15/-/horizon-files-prod/ed/picture/q9mjm69x/c2ddc0318b889dbe4c41ee69b6df24d7cc401fa4.jpg
Studio séparé haut standing à louer à Médina(coté rue 06),1,3,150,Médina Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/157ed78f3c8b3ce614ff2fb768b59eef/-/horizon-files-prod/ed/picture/qngpkwwv/6fa4711d7405f36a862ff2db60d0b4958b91e092.jpg
studio a louer,1,2,150,Mamelles Dakar,420000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/353862cbd3b67c25407ee20044d9b402/-/horizon-files-prod/ed/picture/qxjpnzeq/51d7af2f9358daf83df935b07c145f3008ec9f86.jpg
studio à louer au Mariste,1,2,150,Hann maristes Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5f8375c589aaf8548a8c77210358994/-/horizon-files-prod/ed/picture/qm5gk50g/86404ef8e4d049a9292ede060877102cdf1a8e35.jpg
Appartement a louer,3,3,150,Mamelles Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb763c17b49a38a51b962208d73a2fa6/-/horizon-files-prod/ed/picture/qv4w0q0m/e7924f343913dc48470e5d7ab8cfea19d0394183.jpg
Appartement à louer,2,3,200,Ouakam Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b82afc30ff570cef00c41019395f3832/-/horizon-files-prod/ed/picture/q78wj7pj/266620bf75cc0fd56b68d26044f2020ba0017050.jpg
Appartement à louer,4,4,200,Mamelles Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1133f3aa6698571701c3c37725b46b09/-/horizon-files-prod/ed/picture/q0g7ngnd/43499b2d9d427362d32be6eb21d1d54119e741b7.jpg
Appartement à louer,3,4,200,Mamelles Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6801176c3ae6ee34af26f1e81c805a2a/-/horizon-files-prod/ed/picture/q8v4v5j0/e8717efe0612a741bf03bb4649399d88d0956527.jpg
Loft a louer,5,3,150,Fann Dakar,3500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1d8368a9077df67971f99bc93d48166/-/horizon-files-prod/ed/picture/q44n2289/6991f90aedfa3b60686c06f6478bf6897d1b06ad.jpg
STUDIO HAUT STANDING À LOUER À MÉDINA(COTÉ CENTENAIRE),1,3,150,Médina Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b42836e33bd02daf8cb95b471925954/-/horizon-files-prod/ed/picture/qenvmwr4/3b4a67abe92d0e432d081da0c256385b492cf7e2.jpg
STUDIO MEUBLÉ A LOUER A L’AEROPORT DE DIASS,1,1,40,Yene Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbbdbc10632ad8f17f98f36201307607/-/horizon-files-prod/ed/picture/qwep5v60/cc68705f8fccce851c612d9cce0940cbbab3dfd6.jpg
APPARTEMENT À LOUER AUX ALMADIES,2,3,150,Almadies Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58de3901fae72eac785d8ad72a633a06/-/horizon-files-prod/ed/picture/qv4wek6m/6e8670ab53b443801ecf87573c16a19b906db348.jpg
Mermoz magnifique appartement de 3 ch,3,2,175,Mermoz Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/745968c2e7991a514544698c3f4627c2/-/horizon-files-prod/ed/picture/qngpkk2g/71859584325c5294b75cebc6cd8d87958fbe9e25.jpg
Appartement à louer mamelles Monument,2,2,100,Mamelles Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f88f96c19db93458e8847ff5e6e19cb3/-/horizon-files-prod/ed/picture/q78wr4mz/ad501ed60699d044fea77495474166c4db27aaae.jpg
Appartement Grand Standing a louer a Mermoz,3,4,225,Mermoz Dakar,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/94c4d9812050fcde48593704650a85ef/-/horizon-files-prod/ed/picture/q0g7zjej/9126f2fb968e22efe8a53b89685dee3f7eabd162.jpg
APPARTEMENT F3 À LOUER À NGOR ALMADIES,2,3,145,Ngor Dakar,425000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5f4ab5063b083fd348c305177b25780/-/horizon-files-prod/ed/picture/q8v4226p/f712a583eca6a49c7406afefb65d901c4ac9a075.jpg
BEL APPARTEMENT F4 À LOUER AUX ALMADIES,3,5,147,Almadies Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/77cdceeba6b274fc2d339c92589bf43e/-/horizon-files-prod/ed/picture/q78wdd9g/a253138e1ba30ea7106502552c855f2e5f7ab165.jpg
Appartement - 4 pièces - Cité Onomo (Aéroport Yoff),4,5,150,Yoff Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4233d321a9422d8388ed3b3f2eca17f/-/horizon-files-prod/ed/picture/q56d22gn/7356657e78e8571c82cae9c703673d567641e643.jpg
Villa R+1 à louer à Sacré Coeur,3,3,150,Sacré-cœur Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/413a33850dcf7a341f8ab1fa2ecd59ef/-/horizon-files-prod/ed/picture/qv4w0we2/a2048366799eb5372e8577fd506c9163be9f4634.jpg
Appartement à louer à Hann bel-air,2,3,150,Hann Bel-Air Dakar,225000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f3449fa0068948c43dae5ce414e83a3/-/horizon-files-prod/ed/picture/q6xd28n4/663a794f82b7d434eadf13f525955e8b30f2856b.jpg
Grand apt de luxe pour expatrié au mariste,3,4,250,Hann maristes Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb68f5cb659a6b86350ae990da68f662/-/horizon-files-prod/ed/picture/qngxmx7w/9b524f8ba7b6cbceb1045aaa423a4655d52ee9a0.jpg
Appartement meublé à louer à dakar plateau,3,3,200,Plateau Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d535feca539050fb6442d5009135fb1/-/horizon-files-prod/ed/picture/q785nd4q/250798f0e7e4ed9da329d776673584904ff1f879.jpg
Appartements à louer aux mamelles,2,3,150,Mamelles Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/948c3ebde6f3bfbd6514216a53e53768/-/horizon-files-prod/ed/picture/qrz849pm/e61e5201058831c05c911b6683a23d06ae57f04d.jpg
Appartement a louer,3,3,150,Mermoz Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09aeec8d87ce19e74e2aa447456d9433/-/horizon-files-prod/ed/picture/qgqwk77r/2c5453d2a6b4cc5eb26d868569b0e89179b5a856.jpg
3 CHAMBRES A LOUER A NGOR-ALMADIES,3,4,150,Almadies Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0091f7349743e04881918cb39c26581f/-/horizon-files-prod/ed/picture/qxj28qmw/1f73a357a452e57ecdd1beb77dd08c66ac9364ff.jpg
Appt F4 sacré cœur,3,3,150,Sacré-cœur Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96781af20ed4c33b48ced7ba6c84db6e/-/horizon-files-prod/ed/picture/qpdm8554/f28a8ea381448d94733c60240f9baa89c1477659.jpg
Appartement à louer à Bourguiba près du centre ville,3,3,150,Avenue Bourguiba Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d81eb468bcfaef25be0acf1d0666d05/-/horizon-files-prod/ed/picture/q9mjkwvv/28bd9372e3d459ff001cf9dd45e0c30f798345b4.jpg
Appartement à la scat urbam,3,3,150,Hlm grand-yoff Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f35851a2d776ffd33d624c26a86f94ba/-/horizon-files-prod/ed/picture/qq42kxjp/242a5eac2e3060eeac3667ef1199b752dc7a12cf.jpg
Appartement à la citée mixta,2,1,100,Nord foire Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9633c94f3b30b005c8556a9d58bdda99/-/horizon-files-prod/ed/picture/q44n2rzm/ca6dd00cb9fbb4f95674fe80dc0802608801d392.jpg
Appartement à louer aux Almadies zone de Recasement,3,3,325,Almadies Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eeb7b1eb95f1273010f9b6c1ad950362/-/horizon-files-prod/ed/picture/qm5g0wd2/1dc3b30a646f42545e08d2a42b36cbbf5548e798.jpg
RESIDENCE LES VAGUES_ALMADIES,3,3,150,Almadies Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a85dda4abda568cbfed2a5586d33b304/-/horizon-files-prod/ed/picture/q44nmme5/c53ccabe2ae1a3ec90412b2c24454a2ddc9566f3.jpg
Appartement f2 à louer Mermoz,1,2,150,Mermoz Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4971ca9ebc6e897e2907278fa3e966f/-/horizon-files-prod/ed/picture/q8v427xj/c635fb5c24c39a3f21d02dfa77797b8c88126898.jpg
Appartement a louer à la cité Gadaye,3,3,150,Guediawaye Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/44c19efcabf9583c26998ff299bfa5f2/-/horizon-files-prod/ed/picture/qxjpgd8j/076f2ced1f3de1e68427862c477f17537cb58d96.jpg
Appartement f4 à louer Almadi,3,3,200,Almadies Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d38597fdc1468f7db91fd9de8296252/-/horizon-files-prod/ed/picture/qv4w0j0v/685a700abb300a243a8a33549dd43dd174e509c5.jpg
Appartement f4 usage bureau,3,3,200,Almadies Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/202e214e9fc98deed2dc968beb53274f/-/horizon-files-prod/ed/picture/qxjpn79j/9a151969f60ce3b5da5650ed4607ae5e724a2693.jpg
Immeuble à louer,1,3,1,Guediawaye Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79b23e8e532a118033578506b5abbdfd/-/horizon-files-prod/ed/picture/q56d2kqg/44e6c696e4d157a9071db60cf25ad9c96368d6e6.jpg
Appartement f4 à louer à mermoz,3,4,2000,Mermoz Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/214e0129a8ec6449ac6b27b447a726f2/-/horizon-files-prod/ed/picture/qwep96x4/7d25da00b2718362d479ed9e648976f11b181f6b.jpg
Appartement à louer,3,2,150,Cité assemblée Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c8fd2a4f3ce0505d6ec1e7e55fccbb7/-/horizon-files-prod/ed/picture/qenvmkk2/052804647f136c53032f05a26e04a50696a66c46.jpg
Bel appartement neuf à la Stèle Mermoz,3,3,215,Mermoz Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5863a9cd2fe9754fd9008ed00e344772/-/horizon-files-prod/ed/picture/qxjpek94/afb8a70792faa64726acc6016c1167979ea327e8.jpg
Fann Résidence Appartement F5 Neuf,4,5,200,Fann Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29151a0077a51f6144d0f25d99220f36/-/horizon-files-prod/ed/picture/qj4qpkv8/42a718bfb4765470a424984d3c1ce1701fde818c.jpg
Joli appartement neuf Point E,3,4,180,Point-e Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b193b76dd04e617394c1dc0769eb8c7/-/horizon-files-prod/ed/picture/qngp7m5w/9bcb7e3a250cc8859862d06ff438cb02e6a6bae4.jpg
APPARTEMENT 2 CHAMBRES SALON,3,3,150,Sud foire Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2826737262780b26ae07353c455e5029/-/horizon-files-prod/ed/picture/q6xdmxm4/4c22ca00dd76d958b3cc42845d3db6b472928039.jpg
DUPLEX PENTHOUSE DE 4 CH 2 SALONS,3,5,150,Virage Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/013b96b585c2dc8f3cb276addc5a112d/-/horizon-files-prod/ed/picture/qwep56vm/a67ac758eb8e7df6480b6c8d5bbcf1ef2e964830.jpg
Appartement F4 à louer,3,2,190,Point-e Dakar,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6270993949904cd9e93ab3922abf94a8/-/horizon-files-prod/ed/picture/qkr8xwnx/e5dff78d51938659d6c2aac1583d9a5794175c36.png
Appartement F4 au RDC à Mermoz,3,3,200,Mermoz Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3109ff612cbc35ce1a6b8466c30c5301/-/horizon-files-prod/ed/picture/q8v44pdr/b0923c98476cd38f6ef8472321af1ec9581e1aad.jpg
Appartements à louer aux almadies à la zone de recasement,3,4,150,Almadies Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b11f93946ef8fd4d829eb2615c55b2a7/-/horizon-files-prod/ed/picture/qde7zp8m/902910762e14536dac430eb8d45caac36d8afc8f.jpg
Appartement F4 à louer aux Almadies,3,3,135,Almadies Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55b9c439447dbc2c054d989a06058753/-/horizon-files-prod/ed/picture/qzvpq979/291e7d73874e63fca12c62c2e256e96f649fff6f.jpg
APPART F4 CORNICH ALMADIES,3,4,205,Almadies Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa3818ceb23f84ca5a696176d73d93ea/-/horizon-files-prod/ed/picture/qxjpe708/ddc37972ed99aa4891f7ae100f5024a226ff1bd8.jpg
Appartement F4 meublé à louer à Mermoz,3,3,180,Mermoz Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50eed8f58166ecc1c2664e4e73f4c34f/-/horizon-files-prod/ed/picture/qkr8v68p/dfd761343f02c866784900a8166cf53fedf11c59.jpg
Appartement à louer à la cité Keur Gorgui,2,3,150,Cité keur gorgui Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03e168f088f8f4d8172272743001c3f9/-/horizon-files-prod/ed/picture/qgqwkx52/c21258472aadc42e92b172bee872c0de827ebf21.jpg
F3 tout neuf à louer à Sicap Amitié,2,2,150,Amitié Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b3f79b7bc2cea56549919a64ad7b6e6/-/horizon-files-prod/ed/picture/qzvp6zmd/76f13d0d8b3ebf2a63605fcb59f1f731ec6eb76a.jpg
Duplex à louer avec piscine privée,4,3,300,Mamelles Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/da3f9fae81c64ffaed4cdb74c0fc20e8/-/horizon-files-prod/ed/picture/q56d5607/efc3f312cc231ce59ed0da06cd5d78df896eb217.jpg
Appartement a la Residence kalia,3,2,100,Zone de captage Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/070a678bcb51da04d90d19fdadb0286c/-/horizon-files-prod/ed/picture/q2j02mkv/7d7f5ba0da987c03ec60d1e23c63c01673a26ae2.jpg
Appartement de 2 ch salon a la Cité Keur Gorgui,2,3,150,Cité keur gorgui Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c72fbe82e5827d65259e8b8c7cefdbc/-/horizon-files-prod/ed/picture/q44n2kpz/5ddf40ecbd9964745d00f01d27fd4de7da7a1644.jpg
Studio à louer à liberte 6,1,1,100,Liberte 6 Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98c3078975abf6a09e862e78ea0d7cc3/-/horizon-files-prod/ed/picture/qv4e6r68/257b05ca533fe3f45bceaf31af3d4e788a8655fa.jpg
Appartement à louer almadies,3,4,250,Almadies Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34d88f00eab263cdcb035fed8963b048/-/horizon-files-prod/ed/picture/q8v4xq00/d7e040302269cbc7986f3eb957ee25601d59463f.jpg
Appartement F4 ( 3 chambres / salon ) à louer,3,3,215,Point-e Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8788cf51ee0d1bbfcb601b203d6f4a7/-/horizon-files-prod/ed/picture/qwep9vzk/cd390b523de0581d4aa1fb5f0079fe290a3000ac.jpg
Appartement à louer,2,3,150,Kounoune Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9810f2b7826937b4fbedb45c8f5ca5de/-/horizon-files-prod/ed/picture/qv4w075g/f10bf1cf84fa91782d8a0413e0ba471704931eb8.jpg
A louer studio1ètage cité batrain mermoz meublé,3,3,150,Mermoz Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78a8cc97c5db6e5af30dcbf8b962abfc/-/horizon-files-prod/ed/picture/q9mj2exp/4ef913edc6f020de9e09878a7b932c05c2939492.jpg
"APPARTEMENT VIDE CITE TOUBA RENAISSANCE , MAMELLES DAKAR",3,2,150,Mamelles Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/116546884fc83e308325705427a82937/-/horizon-files-prod/ed/picture/q44n2zz8/3f90b566d34b0ec1ad0b60db01e1e5625c8c0658.jpg
Ref_2744_SEY Appartement à louer à Bourguiba,3,3,150,Avenue Bourguiba Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1e2bef99d785bd343b1f363c40f68fe/-/horizon-files-prod/ed/picture/q9mj2pmw/7a8348351e40ae591f677d5c62e107432cd315c7.jpg
Appartement F4 à louer à Ngor Almadies,3,3,150,Almadies Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/985bfda9dc99faae5f1f5f5c84beb754/-/horizon-files-prod/ed/picture/qrz8zj6q/37cebeed012a5d1a8b5c58adc913cb8e1d28b9af.jpg
Appartement f3 neuf à louer à patte d’oie,2,2,110,Patte d‘oie Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c60a1e42b67eb8aad34512266f370914/-/horizon-files-prod/ed/picture/q9mj65vj/182ae7d65e2579b59415cf99b04f41c38bb02b6c.jpg
Appartement neuf à louer à Mermoz Batrain,2,2,120,Mermoz Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff06331565cb4403520ea257d3c905c9/-/horizon-files-prod/ed/picture/qv4w5k0m/f67b1425a2f54423dae75ada80796f9baf099e68.jpg
Appartement f4 à louer à sacré cœur 1,3,2,160,Sicap Sacré-cœur Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/634f3268af0d42d95a7080217010fb2f/-/horizon-files-prod/ed/picture/q8v42rp9/582981805b12717938d0067b81bf6d5f508cc44d.jpg
Plateau de bureaux de 198 m2 à louer au Point E,3,2,198,Point-e Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3c7f2ee38695357e3c27b5169cdd5d9/-/horizon-files-prod/ed/picture/qgqw5v90/e512cbfc2ff13331656b7122919e9564d5434e64.jpg
Appartement à louer vue sur mer sur le haut plateau,4,5,250,Plateau Dakar,2700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ef21159de8cfd61a8f736a0cc004578/-/horizon-files-prod/ed/picture/qpdmd082/9bcee04f36993ed9af961afa5ece03408819aba7.jpg
Appartement f4 high standing à louer au virage,3,3,150,Virage Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd8dfbacadf4c61d2f5acdce01d760ad/-/horizon-files-prod/ed/picture/qq47mx0j/ec5a73db18650a03d9abc64c9ca76c1840ac8ab7.jpg
Appartement à louer à Mermoz,2,3,150,Mermoz Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2252012cdb075e13ee3562699549f5c3/-/horizon-files-prod/ed/picture/qngpkrz0/dcf91b80af055326e61adcff2d8fa802bb95e463.jpg
Appartements à louer à la zone B,3,3,150,Avenue Bourguiba Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec38636d4fad87c8ec325f19763fa30c/-/horizon-files-prod/ed/picture/qzvpqg5q/f8a9ac75f8721453c8fd4a8353274f874a32511b.jpg
Ref_2745_PL À Louer : Résidence aux Almadies,4,4,395,Almadies Dakar,2600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86379eb2a1b5745a5f6d6050c3b6b1a7/-/horizon-files-prod/ed/picture/qq42kp8p/54ef9b12b8a20e3958f69f1ce232815ad66d477e.jpg
Ref_2745_PL À Louer : Résidence aux Almadies –,3,3,414,Almadies Dakar,4000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8732e20eea4c30ed7ddbd537010c2813/-/horizon-files-prod/ed/picture/qxjpn472/b3cf229d0edcc863ba4fca2024209630d5dcaa41.jpg
Ref_2745_PL À Louer : Résidence aux Almadies,1,1,150,Almadies Dakar,1350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49d0fde3130c90f1a4b6141eeff860ea/-/horizon-files-prod/ed/picture/qenvmge5/0f60f19256c6330c4b62f4ad06146f378798a8bf.jpg
Appartement F3 à louer à Nord Foire,2,2,150,Nord foire Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88cbee12336261320b2e582ace19aa5d/-/horizon-files-prod/ed/picture/q78wdnzj/fded8272ece0386ae7ce6471b69f0cd9018e83d6.jpg
Appartement à sacré coeur 3 VDN,3,3,150,Sacré-cœur Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86c13a20be489dabdcc5ffbd9cbca173/-/horizon-files-prod/ed/picture/qxjpz744/71e73a9fd508d4adfbf33a9f235008458a39b0ab.jpg
Appartement à la cité Djily mbaye de yoff,3,3,150,Djily mbaye Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e52d0daca6e3875723e5c169ac31cb34/-/horizon-files-prod/ed/picture/qv4wzw8w/7b23e48be28acc1cc1234ac6c84d65c4e9f93846.jpg
Appartement à louer à la Sicap Liberte 1,3,4,150,Liberte 1 Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/228c0535d3a3aeb484dd504a0750b774/-/horizon-files-prod/ed/picture/q9mjjngn/cf30fbbc6268c0b955cc24be6e4f06afb3a398e6.jpg
