Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Magnifique appartement à louer a Cheikh Amar,1,2,150,Mamelles Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb02fc33ae8d175349d76c8ae630bfab/-/horizon-files-prod/ed/picture/qm5gn4v9/6c9727ab4ed23ced5d19c52cdc74d8441bfbe776.jpg
APPARTEMENTS F3 NEUFS A LOUER,2,2,150,Patte d‘oie Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de425b61da58581b5ba46886ce18c8c7/-/horizon-files-prod/ed/picture/q6xd5v2g/fd7c13ba3a83bf2c161176697ff78e9ed6957398.jpg
Appartement a louer a Liberté 6,3,3,150,Liberte 6 Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d39c2f896c2d19c194174d0fa2de0fd/-/horizon-files-prod/ed/picture/q9mjg2kx/9c3c9db7a3f4dd1f2afbba31a4a75dd98a54d891.jpg
A louer des appartements F5 Centre-Ville avec vue sur mer,4,4,150,Plateau Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/917b7d0eb57ce4ee08ac276a930ef639/-/horizon-files-prod/ed/picture/q78wgr6e/74b07a32bc7b9ec7705a292842e1a1451a181dee.jpg
APPT3 chambres Mermoz,3,2,150,Mermoz Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/27b1d34ac10cd7297eff614167a4aaf5/-/horizon-files-prod/ed/picture/qzvpxk5x/dd170ca56b2b4ba5d744a3df13405a219cf908bd.jpg
f3 et f2 à louer à la cité mourtada,2,2,150,VDN Dakar,199998,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d1ca31106cbd326fa19d390d1c0c4f9/-/horizon-files-prod/ed/picture/qgqw8mz4/706143567cce75e6c7bcc77f3ca15e48a6737dcf.jpg
Appartement F3 tout neuf à louer à colobane,2,3,150,Colobane Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/edb8438f1f4f764dc53e858f6d2b4ac7/-/horizon-files-prod/ed/picture/qpdmgxv2/fb37dad9757f87d936b1a5921097efefcda2a0c0.jpg
Appartement à Sacré coeur 1,3,3,150,Sacré-cœur Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5844cc2f2ca73272f9674deb73c30713/-/horizon-files-prod/ed/picture/q8v4k7v7/4cecb62444e2ab040c453f63eebb7ee83020cc50.jpg
Appartement à la cité Djily mbaye,2,3,150,Djily mbaye Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e80f66789080db4a40ee7872dd8cc74/-/horizon-files-prod/ed/picture/q44nrg4v/d8d7a82a5c5f6ee72efa9b2f551853f05a7f8a46.jpg
Appartement neuf à la cité biagui,4,4,150,Cité biagui Dakar,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/825aaab94c373d6cede70c2dfb3aed07/-/horizon-files-prod/ed/picture/qv4wgkpk/834a21e62f34df748e6817b869e846b06d0ae9ec.jpg
